Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
742,Random,0.2,84.85,89.39,40.06833624839783,1.2548862445280227,162190.0,89.18,203264.0,
444,Random,0.2,84.8,88.61,39.56365346908569,1.2548862445280227,162190.0,89.18,203264.0,
519,Random,0.2,84.8,87.92,40.105156898498535,1.2548862445280227,162190.0,89.18,203264.0,
217,Random,0.2,84.8,89.58,40.170029401779175,1.2548862445280227,162190.0,89.18,203264.0,
905,Random,0.2,84.8,89.81,39.98612642288208,1.2548862445280227,162190.0,89.18,203264.0,
733,Random,0.2,84.8,89.32,40.167609214782715,1.2548862445280227,162190.0,89.18,203264.0,
791,Random,0.2,84.8,89.21,39.870816707611084,1.2548862445280227,162190.0,89.18,203264.0,
22,Random,0.2,84.75,89.56,39.97608923912048,1.2548862445280227,162190.0,89.18,203264.0,
80,Random,0.2,84.75,89.46,40.00839018821716,1.2548862445280227,162190.0,89.18,203264.0,
191,Random,0.2,84.75,88.88,39.97569298744202,1.2548862445280227,162190.0,89.18,203264.0,
420,Random,0.2,84.75,89.54,40.12340235710144,1.2548862445280227,162190.0,89.18,203264.0,
423,Random,0.2,84.75,89.39,39.532243728637695,1.2548862445280227,162190.0,89.18,203264.0,
572,Random,0.2,84.75,89.16,40.00995373725891,1.2548862445280227,162190.0,89.18,203264.0,
203,Random,0.2,84.75,89.31,40.17577052116394,1.2548862445280227,162190.0,89.18,203264.0,
279,Random,0.2,84.75,89.1,40.06737756729126,1.2548862445280227,162190.0,89.18,203264.0,
349,Random,0.2,84.75,90.07,40.569371938705444,1.2548862445280227,162190.0,89.18,203264.0,
862,Random,0.2,84.75,89.17,39.50999116897583,1.2548862445280227,162190.0,89.18,203264.0,
888,Random,0.2,84.75,89.22,39.919455766677856,1.2548862445280227,162190.0,89.18,203264.0,
890,Random,0.2,84.75,89.76,39.970858097076416,1.2548862445280227,162190.0,89.18,203264.0,
923,Random,0.2,84.75,89.22,40.03460717201233,1.2548862445280227,162190.0,89.18,203264.0,
611,Random,0.2,84.75,89.11,40.013875007629395,1.2548862445280227,162190.0,89.18,203264.0,
679,Random,0.2,84.75,89.15,39.84533143043518,1.2548862445280227,162190.0,89.18,203264.0,
707,Random,0.2,84.75,88.76,39.91447567939758,1.2548862445280227,162190.0,89.18,203264.0,
714,Random,0.2,84.75,88.44,40.026116609573364,1.2548862445280227,162190.0,89.18,203264.0,
766,Random,0.2,84.75,89.96,40.01947546005249,1.2548862445280227,162190.0,89.18,203264.0,
771,Random,0.2,84.75,89.29,40.03726077079773,1.2548862445280227,162190.0,89.18,203264.0,
70,Random,0.2,84.7,89.51,39.64884114265442,1.2548862445280227,162190.0,89.18,203264.0,
102,Random,0.2,84.7,89.32,39.89541745185852,1.2548862445280227,162190.0,89.18,203264.0,
418,Random,0.2,84.7,89.06,39.94616937637329,1.2548862445280227,162190.0,89.18,203264.0,
429,Random,0.2,84.7,89.12,39.9870662689209,1.2548862445280227,162190.0,89.18,203264.0,
491,Random,0.2,84.7,89.58,40.01011514663696,1.2548862445280227,162190.0,89.18,203264.0,
504,Random,0.2,84.7,88.94,39.55700492858887,1.2548862445280227,162190.0,89.18,203264.0,
251,Random,0.2,84.7,89.61,39.492058992385864,1.2548862445280227,162190.0,89.18,203264.0,
314,Random,0.2,84.7,89.63,39.98434400558472,1.2548862445280227,162190.0,89.18,203264.0,
333,Random,0.2,84.7,89.07,39.99524140357971,1.2548862445280227,162190.0,89.18,203264.0,
837,Random,0.2,84.7,89.7,40.206801414489746,1.2548862445280227,162190.0,89.18,203264.0,
