Iteration,Baseline_Accuracy,Method,Prune_Ratio,Accuracy_After_Pruning,Accuracy_After_Finetuning
478,97.96,Random,0.3,97.34,97.94
479,97.96,Random,0.3,97.5,98.04
480,97.96,Random,0.3,97.54,98.06
481,97.96,Random,0.3,97.21,97.94
482,97.96,Random,0.3,97.66,97.96
483,97.96,Random,0.3,97.4,97.84
484,97.96,Random,0.3,97.59,98.12
485,97.96,Random,0.3,97.23,97.98
486,97.96,Random,0.3,97.44,97.9
487,97.96,Random,0.3,97.53,97.98
488,97.96,Random,0.3,97.41,97.99
489,97.96,Random,0.3,97.44,97.96
490,97.96,Random,0.3,97.45,97.75
491,97.96,Random,0.3,97.53,97.77
492,97.96,Random,0.3,97.33,97.76
493,97.96,Random,0.3,97.07,97.9
494,97.96,Random,0.3,97.5,97.97
495,97.96,Random,0.3,97.3,97.95
496,97.96,Random,0.3,97.28,97.88
497,97.96,Random,0.3,97.11,97.83
498,97.96,Random,0.3,97.48,97.96
499,97.96,Random,0.3,97.24,97.88
500,97.96,Random,0.3,97.34,97.84
501,97.96,Random,0.3,97.22,97.9
502,97.96,Random,0.3,97.55,98.03
503,97.96,Random,0.3,96.8,97.81
504,97.96,Random,0.3,97.57,98.03
505,97.96,Random,0.3,96.93,97.86
506,97.96,Random,0.3,97.38,97.92
507,97.96,Random,0.3,97.68,97.99
508,97.96,Random,0.3,97.54,97.91
509,97.96,Random,0.3,97.54,98.03
510,97.96,Random,0.3,97.29,97.98
511,97.96,Random,0.3,97.33,97.94
512,97.96,Random,0.3,97.47,97.88
513,97.96,Random,0.3,97.43,97.83
514,97.96,Random,0.3,97.56,98.0
515,97.96,Random,0.3,97.54,97.99
516,97.96,Random,0.3,97.3,97.75
517,97.96,Random,0.3,97.57,98.16
518,97.96,Random,0.3,97.62,97.93
519,97.96,Random,0.3,97.52,98.02
520,97.96,Random,0.3,97.43,97.94
521,97.96,Random,0.3,97.44,97.81
522,97.96,Random,0.3,97.48,98.02
523,97.96,Random,0.3,97.33,98.01
524,97.96,Random,0.3,97.49,97.93
525,97.96,Random,0.3,97.55,97.97
526,97.96,Random,0.3,97.38,98.0
527,97.96,Random,0.3,97.32,97.94
528,97.96,Random,0.3,97.6,97.93
529,97.96,Random,0.3,97.53,98.14
530,97.96,Random,0.3,97.53,97.92
531,97.96,Random,0.3,97.32,97.76
532,97.96,Random,0.3,97.73,97.95
533,97.96,Random,0.3,97.12,97.98
534,97.96,Random,0.3,97.56,98.05
535,97.96,Random,0.3,97.47,97.96
536,97.96,Random,0.3,97.31,97.98
537,97.96,Random,0.3,97.57,97.98
538,97.96,Random,0.3,97.55,98.06
539,97.96,Random,0.3,97.57,97.86
540,97.96,Random,0.3,97.46,97.98
541,97.96,Random,0.3,97.35,97.83
542,97.96,Random,0.3,97.57,98.06
543,97.96,Random,0.3,97.32,97.83
544,97.96,Random,0.3,97.56,97.83
545,97.96,Random,0.3,97.19,97.84
546,97.96,Random,0.3,97.12,97.85
547,97.96,Random,0.3,97.43,98.02
548,97.96,Random,0.3,97.48,97.96
549,97.96,Random,0.3,97.43,97.87
550,97.96,Random,0.3,97.81,98.0
551,97.96,Random,0.3,97.15,97.87
552,97.96,Random,0.3,97.73,98.14
553,97.96,Random,0.3,97.46,97.76
554,97.96,Random,0.3,97.46,98.08
555,97.96,Random,0.3,97.54,98.04
556,97.96,Random,0.3,97.53,97.81
557,97.96,Random,0.3,97.47,97.77
558,97.96,Random,0.3,97.39,97.98
559,97.96,Random,0.3,97.56,97.99
560,97.96,Random,0.3,97.44,97.95
