Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
941,Random,0.2,88.4,88.87,65.0319755077362,1.2548862445280227,162190.0,88.71,203264.0
226,Random,0.2,88.4,88.76,64.18300652503967,1.2548862445280227,162190.0,88.71,203264.0
918,Random,0.2,88.4,88.67,68.31083726882935,1.2548862445280227,162190.0,88.71,203264.0
228,Random,0.2,88.4,88.98,66.3918821811676,1.2548862445280227,162190.0,88.71,203264.0
4,Random,0.2,88.4,88.77,67.47428250312805,1.2548862445280227,162190.0,88.71,203264.0
822,Random,0.2,88.4,88.46,63.937878370285034,1.2548862445280227,162190.0,88.71,203264.0
462,Random,0.2,88.35,88.77,62.050894260406494,1.2548862445280227,162190.0,88.71,203264.0
111,Random,0.2,88.4,89.01,68.45951747894287,1.2548862445280227,162190.0,88.71,203264.0
551,Random,0.2,88.35,89.04,65.23285984992981,1.2548862445280227,162190.0,88.71,203264.0
459,Random,0.2,88.35,88.6,65.23607635498047,1.2548862445280227,162190.0,88.71,203264.0
332,Random,0.2,88.35,88.19,66.57715725898743,1.2548862445280227,162190.0,88.71,203264.0
610,Random,0.2,88.35,88.94,65.32113528251648,1.2548862445280227,162190.0,88.71,203264.0
379,Random,0.2,88.35,88.66,76.61606216430664,1.2548862445280227,162190.0,88.71,203264.0
578,Random,0.2,88.35,88.88,70.84269666671753,1.2548862445280227,162190.0,88.71,203264.0
881,Random,0.2,88.35,88.78,66.35145735740662,1.2548862445280227,162190.0,88.71,203264.0
992,Random,0.2,88.35,88.2,69.48124146461487,1.2548862445280227,162190.0,88.71,203264.0
713,Random,0.2,88.35,88.68,80.22751235961914,1.2548862445280227,162190.0,88.71,203264.0
199,Random,0.2,88.35,89.02,58.49258375167847,1.2548862445280227,162190.0,88.71,203264.0
235,Random,0.2,88.35,88.64,61.672919511795044,1.2548862445280227,162190.0,88.71,203264.0
