Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs,Pruned_FLOPs
447,Random,0.2,96.4,98.06,39.95245814323425,1.2548862445280227,162190.0,97.89,203264.0,
272,Random,0.2,96.4,98.04,39.870564222335815,1.2548862445280227,162190.0,97.89,203264.0,
544,Random,0.2,96.4,98.15,39.77779507637024,1.2548862445280227,162190.0,97.89,203264.0,
582,Random,0.2,96.4,98.05,39.878862380981445,1.2548862445280227,162190.0,97.89,203264.0,
632,Random,0.2,96.4,98.14,40.08246326446533,1.2548862445280227,162190.0,97.89,203264.0,
668,Random,0.2,96.4,97.92,40.02399778366089,1.2548862445280227,162190.0,97.89,203264.0,
690,Random,0.2,96.4,98.12,41.56466722488403,1.2548862445280227,162190.0,97.89,203264.0,
733,Random,0.2,96.4,97.79,39.69227457046509,1.2548862445280227,162190.0,97.89,203264.0,
746,Random,0.2,96.4,97.95,40.28953194618225,1.2548862445280227,162190.0,97.89,203264.0,
811,Random,0.2,96.4,98.03,39.83796167373657,1.2548862445280227,162190.0,97.89,203264.0,
851,Random,0.2,96.4,97.9,39.827512979507446,1.2548862445280227,162190.0,97.89,203264.0,
31,Random,0.2,96.35,97.87,39.89696955680847,1.2548862445280227,162190.0,97.89,203264.0,
59,Random,0.2,96.35,98.11,40.08466291427612,1.2548862445280227,162190.0,97.89,203264.0,
44,Random,0.2,96.35,98.03,41.72116041183472,1.2548862445280227,162190.0,97.89,203264.0,
117,Random,0.2,96.35,98.01,40.410773038864136,1.2548862445280227,162190.0,97.89,203264.0,
941,Random,0.2,96.35,98.11,39.55426239967346,1.2548862445280227,162190.0,97.89,203264.0,
944,Random,0.2,96.35,98.11,40.56977295875549,1.2548862445280227,162190.0,97.89,203264.0,
969,Random,0.2,96.35,98.0,39.83975958824158,1.2548862445280227,162190.0,97.89,203264.0,
990,Random,0.2,96.35,98.04,39.850985050201416,1.2548862445280227,162190.0,97.89,203264.0,
147,Random,0.2,96.35,98.14,39.9350688457489,1.2548862445280227,162190.0,97.89,203264.0,
205,Random,0.2,96.35,98.07,40.00632691383362,1.2548862445280227,162190.0,97.89,203264.0,
246,Random,0.2,96.35,97.86,41.17160654067993,1.2548862445280227,162190.0,97.89,203264.0,
393,Random,0.2,96.35,97.86,39.96797060966492,1.2548862445280227,162190.0,97.89,203264.0,
415,Random,0.2,96.35,98.09,39.62411093711853,1.2548862445280227,162190.0,97.89,203264.0,
251,Random,0.2,96.35,98.03,39.920053005218506,1.2548862445280227,162190.0,97.89,203264.0,
276,Random,0.2,96.35,98.04,39.87423658370972,1.2548862445280227,162190.0,97.89,203264.0,
426,Random,0.2,96.35,98.14,40.67254614830017,1.2548862445280227,162190.0,97.89,203264.0,
326,Random,0.2,96.35,97.7,39.997509479522705,1.2548862445280227,162190.0,97.89,203264.0,
358,Random,0.2,96.35,98.11,39.880775928497314,1.2548862445280227,162190.0,97.89,203264.0,
505,Random,0.2,96.35,98.13,40.067452907562256,1.2548862445280227,162190.0,97.89,203264.0,
537,Random,0.2,96.35,97.89,39.861093044281006,1.2548862445280227,162190.0,97.89,203264.0,
564,Random,0.2,96.35,98.05,39.579113245010376,1.2548862445280227,162190.0,97.89,203264.0,
614,Random,0.2,96.35,97.96,39.80194973945618,1.2548862445280227,162190.0,97.89,203264.0,
635,Random,0.2,96.35,98.17,39.68941521644592,1.2548862445280227,162190.0,97.89,203264.0,
571,Random,0.2,96.35,98.03,40.76868271827698,1.2548862445280227,162190.0,97.89,203264.0,
659,Random,0.2,96.35,98.26,39.8438777923584,1.2548862445280227,162190.0,97.89,203264.0,
680,Random,0.2,96.35,98.09,39.84017753601074,1.2548862445280227,162190.0,97.89,203264.0,
696,Random,0.2,96.35,98.14,39.91790819168091,1.2548862445280227,162190.0,97.89,203264.0,
728,Random,0.2,96.35,98.07,40.015745639801025,1.2548862445280227,162190.0,97.89,203264.0,
859,Random,0.2,96.35,97.94,39.62464761734009,1.2548862445280227,162190.0,97.89,203264.0,
409,Random,0.2,96.3,97.72,39.827574014663696,1.2548862445280227,162190.0,97.89,203264.0,
993,Random,0.2,96.3,98.03,40.03622531890869,1.2548862445280227,162190.0,97.89,203264.0,
430,Random,0.2,96.3,98.03,39.889989376068115,1.2548862445280227,162190.0,97.89,203264.0,
974,Random,0.2,96.3,97.74,41.125234842300415,1.2548862445280227,162190.0,97.89,203264.0,
490,Random,0.2,96.3,98.0,39.89967226982117,1.2548862445280227,162190.0,97.89,203264.0,
499,Random,0.2,96.3,98.27,39.88450241088867,1.2548862445280227,162190.0,97.89,203264.0,
317,Random,0.2,96.3,98.0,39.9340877532959,1.2548862445280227,162190.0,97.89,203264.0,
346,Random,0.2,96.3,98.1,39.562819719314575,1.2548862445280227,162190.0,97.89,203264.0,
815,Random,0.2,96.3,98.04,39.6552939414978,1.2548862445280227,162190.0,97.89,203264.0,
830,Random,0.2,96.3,97.83,40.00597906112671,1.2548862445280227,162190.0,97.89,203264.0,
573,Random,0.2,96.3,97.87,40.75966024398804,1.2548862445280227,162190.0,97.89,203264.0,
99,Random,0.2,96.25,98.08,39.73951268196106,1.2548862445280227,162190.0,97.89,203264.0,
101,Random,0.2,96.25,97.91,39.84000754356384,1.2548862445280227,162190.0,97.89,203264.0,
124,Random,0.2,96.25,97.9,39.82824349403381,1.2548862445280227,162190.0,97.89,203264.0,
882,Random,0.2,96.25,97.83,39.88376045227051,1.2548862445280227,162190.0,97.89,203264.0,
890,Random,0.2,96.25,98.03,39.55210471153259,1.2548862445280227,162190.0,97.89,203264.0,
172,Random,0.2,96.25,97.9,39.86077857017517,1.2548862445280227,162190.0,97.89,203264.0,
164,Random,0.2,96.25,97.78,39.89312148094177,1.2548862445280227,162190.0,97.89,203264.0,
158,Random,0.2,96.25,98.05,40.74474620819092,1.2548862445280227,162190.0,97.89,203264.0,
396,Random,0.2,96.25,97.91,39.693206548690796,1.2548862445280227,162190.0,97.89,203264.0,
403,Random,0.2,96.25,97.8,39.899311542510986,1.2548862445280227,162190.0,97.89,203264.0,
437,Random,0.2,96.25,97.97,40.00280833244324,1.2548862445280227,162190.0,97.89,203264.0,
451,Random,0.2,96.25,98.17,40.453943490982056,1.2548862445280227,162190.0,97.89,203264.0,
